price,brand,mile,old,engine,gear,seat,province,colour,fuel,post
357000.0,"Toyota,Corolla",107500.0,5,1598,A,5,กรุงเทพและปริมณฑล,เทา,Petrol,0
945000.0,"Toyota,Vellfire",150000.0,10,2362,A,7,กรุงเทพและปริมณฑล,ดำ,Petrol,0
517000.0,"Toyota,Hilux",13754.0,2,2393,A,2,กรุงเทพและปริมณฑล,ขาว,Diesel,0
497000.0,"MG,GS",82500.0,2,1490,A,5,กรุงเทพและปริมณฑล,ดำ,Petrol,0
778000.0,"Toyota,Innova",62500.0,2,2755,A,7,กรุงเทพและปริมณฑล,เทา,Diesel,0
419000.0,"Toyota,Corolla",97500.0,6,1798,A,5,กรุงเทพและปริมณฑล,ดำ,Petrol,0
707000.0,"Mazda,CX-5",2500.0,3,2191,A,5,กรุงเทพและปริมณฑล,เทา,Diesel,0
377000.0,"Ford,Ranger",32500.0,2,2198,M,2,กรุงเทพและปริมณฑล,ดำ,Diesel,0
647000.0,"Volvo,S80",2500.0,6,1999,A,5,กรุงเทพและปริมณฑล,ขาว,Petrol,0
497000.0,"Honda,Mobilio",15000.0,1,1497,A,7,กรุงเทพและปริมณฑล,ขาว,Petrol,0
487000.0,"Honda,City",42500.0,3,1497,A,5,กรุงเทพและปริมณฑล,น้ำเงิน,Petrol,0
329000.0,"Mazda,3",137500.0,8,1999,A,5,กรุงเทพและปริมณฑล,เงิน,Petrol,0
417000.0,"Toyota,Corolla",7500.0,4,1598,A,5,กรุงเทพและปริมณฑล,เทา,Petrol,0
210000.0,"Mitsubishi,Triton",167500.0,14,2477,A,5,กรุงเทพและปริมณฑล,เทา,Diesel,0
690000.0,"Chevrolet,Trailblazer",37500.0,3,2499,A,7,กรุงเทพและปริมณฑล,ขาว,Diesel,0
449000.0,"Mitsubishi,Pajero",2500.0,9,2477,A,7,กรุงเทพและปริมณฑล,ขาว,Diesel,0
140000.0,"Nissan,Big",997500.0,31,2663,M,5,ภาคตะวันออก,ขาว,Diesel,0
450000.0,"Nissan,Juke",72500.0,3,1598,A,5,กรุงเทพและปริมณฑล,ขาว,Petrol,0
1590000.0,"Mercedes-Benz,E300",62500.0,4,2143,A,5,กรุงเทพและปริมณฑล,ดำ,Diesel,0
1480000.0,"Lexus,RX350",152500.0,6,3456,A,5,กรุงเทพและปริมณฑล,ดำ,Petrol,0
289000.0,"Honda,Civic",157500.0,12,1799,A,5,กรุงเทพและปริมณฑล,เทา,Petrol,0
900000.0,"Mitsubishi,Pajero",97500.0,3,2442,A,7,ภาคอีสาน,ดำ,Diesel,1
265000.0,"Honda,City",142500.0,7,1497,A,5,กรุงเทพและปริมณฑล,ขาว,Petrol,0
155000.0,"Honda,Civic",27500.0,17,1668,A,5,กรุงเทพและปริมณฑล,น้ำตาล,Petrol,0
269000.0,"Honda,Civic",112500.0,13,1998,A,5,กรุงเทพและปริมณฑล,เทา,Petrol,0
300000.0,"Nissan,Frontier",122500.0,6,2488,A,2,ภาคตะวันออก,ดำ,Diesel,0
700000.0,"Audi,A6",72500.0,13,1984,A,5,กรุงเทพและปริมณฑล,ดำ,Petrol,0
2950000.0,"Porsche,Cayenne",87500.0,9,2967,A,5,กรุงเทพและปริมณฑล,ดำ,Diesel,0
768000.0,"Toyota,Camry",78588.0,5,1998,A,5,กรุงเทพและปริมณฑล,ขาว,Petrol,0
828000.0,"Toyota,Camry",92500.0,3,2494,A,5,กรุงเทพและปริมณฑล,ดำ,Petrol,0
299000.0,"Toyota,Camry",147500.0,13,1998,A,5,กรุงเทพและปริมณฑล,เทา,Petrol,0
1168000.0,"Toyota,Fortuner",22500.0,1,2393,A,7,กรุงเทพและปริมณฑล,ขาว,Diesel,0
1300000.0,"Toyota,Esquire",87500.0,3,2000,A,7,กรุงเทพและปริมณฑล,ดำ,Petrol,0
1238000.0,"Toyota,Fortuner",27500.0,2,2755,A,5,กรุงเทพและปริมณฑล,ขาว,Diesel,0
299000.0,"Toyota,Hilux",142500.0,5,2694,M,2,กรุงเทพและปริมณฑล,เหลือง,Petrol,0
149000.0,"Mitsubishi,Triton",142500.0,7,2400,M,2,กรุงเทพและปริมณฑล,ขาว,Petrol,0
1290000.0,"Mercedes-Benz,C350",85958.0,3,1991,A,5,กรุงเทพและปริมณฑล,ขาว,Petrol,0
259000.0,"Suzuki,Swift",102500.0,7,1242,A,5,กรุงเทพและปริมณฑล,แดง,Petrol,0
299000.0,"Toyota,Camry",117500.0,13,1998,A,5,กรุงเทพและปริมณฑล,น้ำตาล,Petrol,0
369000.0,"Honda,Accord",102500.0,11,2354,A,5,กรุงเทพและปริมณฑล,ดำ,Petrol,0
579000.0,"BMW,X3",122500.0,10,1995,A,5,กรุงเทพและปริมณฑล,ขาว,Diesel,0
